[31mInitialization[0m
[94m-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   colsample_bytree |   learning_rate |   max_depth |   min_child_weight |   min_split_gain |   n_estimators |   num_leaves |   reg_alpha |   reg_lambda |   subsample | 
   14 | 57m29s |    0.77658 |             0.5910 |          0.0015 |      5.4913 |            12.2520 |           0.0875 |      6000.2159 |     197.6521 |      7.8671 |       3.0412 |      0.6313 | 
   15 | 73m55s |    0.79290 |             0.6967 |          0.0285 |      7.3339 |            82.1052 |           0.0489 |      8997.1479 |      12.7071 |      8.1661 |       0.0500 |      0.8211 | 
   16 | 74m55s |    0.78850 |             0.9633 |          0.0299 |      5.1455 |            95.6368 |           0.0876 |      8990.4357 |      12.4269 |      4.5812 |       0.4406 |      0.6056 | 
   17 | 103m14s |    0.79208 |             0.5914 |          0.0246 |      8.8665 |             1.3676 |           0.0483 |      8987.3557 |     197.8230 |      7.4727 |       5.7286 |      0.9714 | 
   18 | 62m59s | [35m   0.79441[0m | [32m            0.9867[0m | [32m         0.0095[0m | [32m     9.9019[0m | [32m           95.6105[0m | [32m          0.0907[0m | [32m     6005.8536[0m | [32m     13.5388[0m | [32m     7.8932[0m | [32m      7.2103[0m | [32m     0.6786[0m | 
   19 | 75m31s |    0.79293 |             0.6092 |          0.0280 |      6.9291 |            99.9138 |           0.0130 |      8995.1408 |      12.7752 |      8.0188 |       7.1835 |      0.8480 | 
   20 | 83m15s |    0.79436 |             0.9703 |          0.0130 |      8.9640 |            95.0718 |           0.0115 |      6000.4080 |      18.1518 |      3.4221 |       8.9982 |      0.9148 | 
   21 | 52m33s |    0.79357 |             0.6522 |          0.0282 |      6.2845 |            84.0678 |           0.0620 |      6004.1867 |      11.5670 |      8.4274 |       5.0603 |      0.9480 | 
   22 | 73m43s |    0.79280 |             0.9031 |          0.0109 |      6.3052 |             1.4995 |           0.0798 |      8996.1594 |      13.5372 |      5.0198 |       5.0480 |      0.9234 | 
   23 | 82m49s |    0.79257 |             0.5340 |          0.0227 |      8.8617 |            96.8891 |           0.0087 |      6008.9825 |      11.4016 |      5.7169 |       2.7656 |      0.9493 | 
   24 | 96m26s |    0.79229 |             0.6357 |          0.0158 |      8.4771 |            84.3339 |           0.0967 |      8987.8323 |      11.9703 |      6.2207 |       5.9775 |      0.6332 | 
   25 | 51m00s |    0.78666 |             0.6415 |          0.0028 |      4.8938 |             2.3447 |           0.0247 |      6008.8170 |      12.1427 |      5.3375 |       3.1837 |      0.5065 | 
   26 | 114m18s |    0.79168 |             0.6785 |          0.0212 |      7.5818 |            97.0890 |           0.0668 |      8998.9922 |      13.9326 |      8.7800 |       2.9253 |      0.9721 | 
   27 | 62m24s |    0.78486 |             0.5879 |          0.0022 |      6.6102 |            94.2898 |           0.0174 |      8985.1389 |     199.9246 |      3.2822 |       7.1496 |      0.5541 | 
   28 | 67m10s |    0.79229 |             0.6801 |          0.0203 |      7.5261 |            98.6627 |           0.0684 |      6007.0950 |      12.4633 |      1.8489 |       6.9751 |      0.6178 | 
   29 | 48m18s |    0.79358 |             0.7239 |          0.0245 |      7.4126 |            99.4619 |           0.0058 |      6003.8943 |     196.7613 |      5.0320 |       5.5824 |      0.6549 | 
   30 | 70m06s |    0.79263 |             0.6324 |          0.0216 |      8.0111 |            97.6060 |           0.0361 |      6014.8254 |      10.9620 |      9.5868 |       9.8190 |      0.6689 | 
   31 | 38m44s |    0.77549 |             0.6141 |          0.0021 |      6.4781 |             5.8951 |           0.0835 |      6016.9616 |      10.2493 |      9.3146 |       8.9508 |      0.5009 | 
   32 | 53m10s |    0.78466 |             0.7512 |          0.0027 |      5.6840 |            97.4606 |           0.0378 |      8996.1235 |      13.6313 |      7.1941 |       5.0802 |      0.5104 | 
   33 | 75m14s |    0.78801 |             0.5651 |          0.0025 |      4.3272 |            97.9673 |           0.0200 |      8999.3898 |     196.1188 |      0.5284 |       5.8104 |      0.7019 | 
   34 | 40m41s |    0.79352 |             0.7792 |          0.0274 |      5.7475 |            94.4117 |           0.0970 |      6021.1959 |     199.4100 |      8.1573 |       4.6936 |      0.5899 | 
   35 | 46m42s |    0.78625 |             0.6156 |          0.0049 |      5.6128 |            97.8397 |           0.0242 |      6041.0436 |     198.8494 |      2.1133 |       2.7428 |      0.7334 | 
   36 | 89m06s |    0.79140 |             0.6539 |          0.0046 |      4.2469 |            97.0293 |           0.0965 |      8970.4673 |      13.2228 |      4.7491 |       0.2692 |      0.9550 | 
   37 | 98m21s |    0.78377 |             0.6427 |          0.0016 |      5.1262 |            94.2135 |           0.0750 |      8984.2681 |      10.0503 |      9.5034 |       4.1602 |      0.8713 | 
   38 | 83m13s |    0.79245 |             0.5857 |          0.0250 |      9.1963 |            98.0953 |           0.0052 |      6003.5118 |      10.8362 |      9.9514 |       0.1430 |      0.9343 | 
   39 | 62m57s | [35m   0.79461[0m | [32m            0.5138[0m | [32m         0.0082[0m | [32m     8.7293[0m | [32m            2.7382[0m | [32m          0.0641[0m | [32m     6007.6785[0m | [32m    199.9115[0m | [32m     4.1674[0m | [32m      4.0803[0m | [32m     0.5416[0m | 
   40 | 74m30s |    0.79413 |             0.7054 |          0.0149 |      7.8292 |            99.9090 |           0.0106 |      6006.8142 |     195.3080 |      3.6114 |       6.8346 |      0.7899 | 
   41 | 65m22s |    0.78926 |             0.7993 |          0.0029 |      8.5385 |            98.0974 |           0.0722 |      6016.1689 |      10.0223 |      8.8015 |       1.1382 |      0.5009 | 
   42 | 56m32s |    0.79415 |             0.8905 |          0.0237 |      4.2391 |             4.6516 |           0.0374 |      6014.9011 |     199.2160 |      5.2883 |       1.0223 |      0.9096 | 
   43 | 54m44s |    0.79308 |             0.9363 |          0.0279 |      5.7479 |            99.0667 |           0.0770 |      6018.7947 |     198.3365 |      6.0892 |       6.1755 |      0.9885 | 
   44 | 48m21s |    0.79194 |             0.9493 |          0.0065 |      4.4724 |            99.0903 |           0.0854 |      6002.6381 |     198.9094 |      9.2978 |       9.9232 |      0.5556 | 
   45 | 99m11s |    0.79069 |             0.6021 |          0.0269 |      8.8872 |             3.7763 |           0.0924 |      8998.0540 |     199.8558 |      4.0238 |       4.5369 |      0.9114 | 
   46 | 63m44s |    0.78109 |             0.9668 |          0.0026 |      7.2608 |             6.1923 |           0.0855 |      6000.8511 |      12.5723 |      1.8596 |       2.5431 |      0.9394 | 
   47 | 59m14s |    0.78699 |             0.5025 |          0.0027 |      6.5085 |            99.6734 |           0.0052 |      8990.1470 |     198.7839 |      3.6294 |       7.3893 |      0.5009 | 
   48 | 78m53s |    0.78999 |             0.7642 |          0.0290 |      9.2237 |            98.0354 |           0.0796 |      6026.0303 |     199.9810 |      1.0579 |       4.2503 |      0.8171 | 
   49 | 70m30s |    0.79357 |             0.8819 |          0.0152 |      5.8677 |            95.2286 |           0.0555 |      8985.4986 |     199.0330 |      4.5681 |       1.0963 |      0.8638 | 
   50 | 63m56s |    0.79267 |             0.8767 |          0.0226 |      6.9970 |            95.7675 |           0.0635 |      8989.5763 |     198.6315 |      3.7395 |       5.4888 |      0.6068 | 
   51 | 56m12s |    0.79332 |             0.8379 |          0.0248 |      9.5647 |             1.5519 |           0.0001 |      6009.3773 |     198.5376 |      2.0178 |       7.7655 |      0.6210 | 
   52 | 89m36s |    0.79315 |             0.9556 |          0.0188 |      7.6651 |             3.2172 |           0.0909 |      8996.2148 |     196.9976 |      5.5366 |       0.8507 |      0.6986 | 
   53 | 119m18s |    0.79205 |             0.6487 |          0.0180 |      9.3193 |            99.6199 |           0.0673 |      8997.7278 |     198.6339 |      4.0799 |       2.3239 |      0.9349 | 
   54 | 75m20s |    0.79460 |             0.7738 |          0.0113 |      9.1068 |            97.5734 |           0.0050 |      6005.9894 |     197.4752 |      9.4124 |       5.1584 |      0.6478 | 
   55 | 46m34s |    0.79081 |             0.6636 |          0.0089 |      5.8968 |             2.5723 |           0.0106 |      6001.3267 |     197.6970 |      5.9997 |       6.6602 |      0.7427 | 
   56 | 81m55s |    0.79414 |             0.5516 |          0.0101 |      8.3727 |            97.9707 |           0.0483 |      6001.1412 |     199.4873 |      8.6477 |       6.1698 |      0.9823 | 
   57 | 96m22s | [35m   0.79479[0m | [32m            0.5128[0m | [32m         0.0137[0m | [32m     7.8338[0m | [32m            1.3459[0m | [32m          0.0320[0m | [32m     8988.5669[0m | [32m    199.1955[0m | [32m     8.0363[0m | [32m      2.6900[0m | [32m     0.8438[0m | 
